Species,HBL,HFL,WT,Mean_Temp,Max_Temp,Min_temp,Lat.mid,Habitat,Loc_niche
Apomys_abrae,140,36,69,21.1,27.4,14,17.1,Forest,Terrestrial
Apomys_aurorae,140,35,78,24.5,30.4,18,15.63,Forest,Terrestrial
Apomys_banahao,138,36,79,22.8,28.6,16.8,14.05,Forest,Terrestrial
Apomys_brownorum,131,34,73,21.3,27.3,14.9,15.47,Forest,Terrestrial
Apomys_camiguinensis,110,33,40,25.6,31.5,19.5,9.18,Forest,Terrestrial
Apomys_datae,136,36,84,21.2,27.4,14,17.28,Forest,Terrestrial
Apomys_gracilirostris,150,38,88,22.4,28.3,16.4,13.22,Forest,Terrestrial
Apomys_hylocetes,112,30,45,22.7,29.5,15.4,7.86,Forest,Terrestrial
Apomys_insignis,98,30,31,26,31.9,20.1,7.68,Forest,Terrestrial
Apomys_iridensis,148,38,96,24.8,30.7,18.6,14.89,Forest,Terrestrial
Apomys_littoralis,99,25,22,25.6,31.9,19.3,7.47,Forest,Terrestrial
Apomys_lubangensis,136,39,90,27,32.3,22.3,13.78,Forest,Terrestrial
Apomys_magnus,147,40,104,22.9,28.8,16.9,14.06,Forest,Terrestrial
Apomys_microdon,107,27,36,24.4,30.3,17.9,15.86,Forest,Terrestrial
Apomys_minganensis,137,33,75,24.1,30,17.6,15.61,Forest,Terrestrial
Apomys_musculus,88,22,20,24.3,30.2,18.1,15.04,Forest,Terrestrial
Apomys_sacobianus,154,38,92,24.9,31,18.9,15.14,Forest,Terrestrial
Apomys_sierrae,140,36,82,23.5,29.5,16.6,16.87,Forest,Terrestrial
Apomys_zambalensis,143,38,88,24.8,30.8,19,15.32,Forest,Terrestrial
Chiruromys_forbesi,121,29,73,24.6,30.1,18.6,-8.83,Forest,Arboreal
Chiruromys_vates,110,24,46,24.9,31.6,17.6,-7.45,Forest,Arboreal
Macruromys_major,241,53,350,18.8,25.2,12.1,-6.34,Forest,Terrestrial
Mammelomys_lanosus,162,37,116,18.1,24.4,11.7,-5.31,Forest,Terrestrial
Mallomys_aroaensis,364,67,1238,19,25.5,12.1,-6.65,Forest,Arboreal
Mallomys_rothschildi,380,65,1158,18.4,24.8,11.8,-5.36,Forest,Arboreal
Abeomelomys_sevia,122,27,54,16.1,22.8,9.3,-6,Forest,Terrestrial
Leptomys_elegans,157,36,79,23.7,29.9,17,-8.25,Forest,Terrestrial
Leptomys_ernstmayri,139,38,59,22,28.3,15.2,-6.03,Forest,Terrestrial
Leptomys_paulus,125,34,42,19.7,25.4,13.5,-9.68,Forest,
Leptomys_signatus,148,40,80,24.8,31.6,17.4,-7.26,Forest,Terrestrial
Leporillus_conditor,172,45,408,18.5,31.3,4,-32.61,Shrubland,Terrestrial
Mesembriomys_gouldii,288,69,740,25.1,33.7,15.4,-15.04,Forest,Arboreal
Mesembriomys_macrurus,230,50,285,27,36,15.8,-15.38,Forest,Arboreal
Paramelomys_levipes,156,36,127,25.1,31.5,18.2,-8.13,Forest,Terrestrial
Paramelomys_lorentzii,157,35,134,26.5,32.4,19.9,-6.5,Forest,Terrestrial
Paramelomys_mollis,137,35,80,19.2,25.5,12.7,-5.62,Forest,Terrestrial
Paramelomys_platyops,111,27,43,25.4,30.7,19.5,-4.8,Forest,Terrestrial
Melomys_bougainville,141,26,86,25.6,29.7,21.2,-6.38,Forest,Terrestrial
Melomys_burtoni,113,25,45,25,33.8,14.9,-16.39,Forest,Terrestrial
Melomys_cervinipes,134,29,74,20.1,30.2,8.7,-24.89,Forest,Terrestrial
Melomys_leucogaster,157,32,122,26,32.1,19.3,-6.73,Forest,Terrestrial
Melomys_matambuai,156,35,158,26.8,30.8,22.9,-2.09,Forest,Terrestrial
Melomys_paveli,124,24,55,21.7,26.3,16.5,-3.24,Forest,Terrestrial
