Species,HBL(mm),HFL(mm),WT(g),Mean_Temp(C),Max_Temp(C),Min_temp(C),Lat.mid,Habitat,Loc_niche,References
Steatomys_caurinus,105,16,45,27.4,36.3,17,11.51,Shrubland,Terrestrial,"Alhajeri et al, 2020"
Steatomys_cuppedius,72,16,12,28,38.5,15.8,13.58,Savanna,Terrestrial,"Alhajeri et al, 2020"
Steatomys_jacksoni,101,18,25,26.4,32.8,18.9,7.56,Artificial Terrestrial,Terrestrial,"Alhajeri et al, 2020"
Steatomys_opimus,120,19,40,24.4,30.6,17.4,4.58,Forest,Terrestrial,"Alhajeri et al, 2020"
Steatomys_parvus,76,15,13,21.7,31,10.2,-10.29,Savanna,Terrestrial,"Alhajeri et al, 2020"
Steatomys_pratensis,88,16,24,22,31.8,10.4,-12.88,Savanna,Terrestrial,"Alhajeri et al, 2020"
Stenocephalemys_albipes,132,27,59,19,27.5,9.7,8.99,Savanna,Terrestrial,"Alhajeri et al, 2020"
Stenocephalemys_albocaudata,164,32,130,12.5,20.4,3.8,7.21,Shrubland,Terrestrial,"Alhajeri et al, 2020"
Stenocephalemys_griseicauda,154,30,99,15.5,24.3,6.1,9.99,Shrubland,Terrestrial,"Alhajeri et al, 2020"
Taeromys_arcuatus,215,47,227,19.9,25.4,14.2,-1.8,Forest,Terrestrial,"Alhajeri et al, 2020"
Taeromys_callitrichus,234,53,319,23.1,28,18.2,0.19,Forest,Terrestrial,"Alhajeri et al, 2020"
Taeromys_celebensis,224,50,253,24.7,29.6,19.6,-1.32,Forest,Scansorial,"Alhajeri et al, 2020"
Taeromys_hamatus,198,44,182,18.2,23.9,12.4,-2.17,Forest,Terrestrial,"Alhajeri et al, 2020"
Taterillus_arenarius,121,31,42,29,41.2,14.8,17.34,Desert,Terrestrial,"Alhajeri et al, 2020"
Taterillus_congicus,120,30,49,25.5,32.9,16.7,6.85,Savanna,Terrestrial,"Alhajeri et al, 2020"
Taterillus_gracilis,119,31,55,27.4,36.7,16.5,11.76,Savanna,Terrestrial,"Alhajeri et al, 2020"
Taterillus_lacustris,116,31,46,28.1,39.5,14.7,12.31,Savanna,Terrestrial,"Alhajeri et al, 2020"
Taterillus_petteri,114,30,50,28.9,39.7,16.2,14.66,Grassland,Terrestrial,"Alhajeri et al, 2020"
Taterillus_tranieri,124,31,47,29.2,41.8,15.4,15.87,Grassland,Terrestrial,"Alhajeri et al, 2020"
Thallomys_loringi,144,27,80,18.9,25.8,11.4,0.24,Savanna,Scansorial,"Alhajeri et al, 2020"
Thallomys_nigricauda,135,25,74,21.1,34.2,5.8,-22.15,Shrubland,Scansorial,"Alhajeri et al, 2020"
Thallomys_paedulcus,140,25,72,22.2,31.6,11.1,-12.23,Shrubland,Scansorial,"Alhajeri et al, 2020"
Tokudaia_muenninki,149,34,148,21.9,29.9,13.2,26.74,Forest,Terrestrial,"Alhajeri et al, 2020"
Uromys_caudimaculatus,295,61,868,24.2,30.1,17.8,-6.31,Forest,Scansorial,"Alhajeri et al, 2020"
Uromys_hadrourus,178,38,172,21,28.2,12.6,-16.44,Forest,Scansorial,"Alhajeri et al, 2020"
Zyzomys_argurus,100,21,36,25.5,36.8,12.4,-18.19,Savanna,Terrestrial,"Alhajeri et al, 2020"
Zyzomys_maini,118,27,125,27.1,36,16.8,-13.3,Forest,Terrestrial,"Alhajeri et al, 2020"
Zyzomys_palatalis,165,28,125,25.9,37.1,13,-17.2,Savanna,Terrestrial,"Alhajeri et al, 2020"
Zyzomys_pedunculatus,117,26,65,20.6,34.7,4.6,-23.68,Shrubland,Terrestrial,"Alhajeri et al, 2020"
Zyzomys_woodwardi,138,28,145,26.9,36,15.8,-15.4,Savanna,Terrestrial,"Alhajeri et al, 2020"
