Species,HBL(mm),HFL(mm),WT(g),Mean_Temp(C),Max_Temp(C),Min_temp(C),Lat.mid,Habitat,Loc_niche,References
Limnomys_bryophilus,130,33,64,20.5,27.2,13.4,8.02,Forest,Scansorial,"Alhajeri et al, 2020"
Limnomys_sibuanus,127,30,64,22.5,29,15.7,7.68,Forest,Scansorial,"Alhajeri et al, 2020"
Lophuromys_brevicaudus,114,21,43,12.5,20.4,3.7,7.21,Shrubland,Terrestrial,"Alhajeri et al, 2020"
Lophuromys_chercherensis,128,23,61,17.7,27.1,7.9,9.32,Forest,Terrestrial,"Alhajeri et al, 2020"
Lophuromys_chrysopus,114,21,43,20,27.7,11.6,6.48,Forest,Terrestrial,"Alhajeri et al, 2020"
Lophuromys_cinereus,122,24,52,14.7,19.2,9.9,-2.26,Forest,Terrestrial,"Alhajeri et al, 2020"
Lophuromys_dieterleni,123,22,61,18,23.7,11,6.21,Forest,Terrestrial,"Alhajeri et al, 2020"
Lophuromys_luteogaster,102,21,34,23.1,28.5,17.5,0.27,Forest,Terrestrial,"Alhajeri et al, 2020"
Lophuromys_machangui,123,21,52,21.1,29.5,11.7,-11.6,Savanna,Terrestrial,"Alhajeri et al, 2020"
Lophuromys_makundii,125,22,49,16,23.1,7.5,-4.44,Forest,Terrestrial,"Alhajeri et al, 2020"
Lophuromys_medicaudatus,103,21,35,15.6,20.7,10.3,-1.84,Forest,Terrestrial,"Alhajeri et al, 2020"
Lophuromys_melanonyx,146,23,95,12,19.9,3.3,7.26,Shrubland,Terrestrial,"Alhajeri et al, 2020"
Lophuromys_menageshae,134,22,74,15.6,23.9,7,9.6,Forest,Terrestrial,"Alhajeri et al, 2020"
Lophuromys_pseudosikapusi,134,24,60,22.1,29.1,14.6,7.01,Forest,Terrestrial,"Alhajeri et al, 2020"
Lophuromys_rahmi,102,16,32,16.4,21.7,11,-2.01,Forest,Terrestrial,"Alhajeri et al, 2020"
Lophuromys_roseveari,128,22,64,20.5,26,15.4,4.25,Forest,Terrestrial,"Alhajeri et al, 2020"
Lophuromys_sabunii,128,22,52,20.8,28.5,11.8,-7.81,Forest,Terrestrial,"Alhajeri et al, 2020"
Lophuromys_simensis,133,23,57,18,27.5,7.6,12.24,Shrubland,,"Alhajeri et al, 2020"
Lophuromys_stanleyi,118,23,46,10,14.6,5.3,0.38,Forest,Terrestrial,"Alhajeri et al, 2020"
Lophuromys_woosnami,121,26,47,18.4,23.9,12.7,-2.05,Forest,Terrestrial,"Alhajeri et al, 2020"
Macruromys_major,241,53,350,18.8,25.2,12.1,-6.34,Forest,Terrestrial,"Alhajeri et al, 2020"
Malacomys_cansdalei,144,43,82,25.9,31.7,19.1,6,Forest,Terrestrial,"Alhajeri et al, 2020"
Malacomys_edwardsi,133,33,59,26,32.2,18.9,6.72,Forest,Terrestrial,"Alhajeri et al, 2020"
Malacomys_longipes,138,35,68,24.1,29.7,18.1,1.06,Forest,Terrestrial,"Alhajeri et al, 2020"
Mallomys_aroaensis,364,67,1238,19,25.5,12.1,-6.65,Forest,Arboreal,"Alhajeri et al, 2020"
Mallomys_rothschildi,380,65,1158,18.4,24.8,11.8,-5.36,Forest,Arboreal,"Alhajeri et al, 2020"
