Species,HBL,HFL,WT,Mean_Temp,Max_Temp,Min_temp,Lat.mid,Habitat,Loc_niche
Millardia_kathleenae,148,28,93,27,35.9,16,21.63,Savanna,Terrestrial
Otomys_angoniensis,155,26,93,19,29.7,6.4,-17.58,Savanna,Terrestrial
Otomys_auratus,168,29,127,16.2,28.9,1.9,-28.48,Grassland,
Otomys_barbouri,166,27,112,8.9,14.7,3.2,1.15,Forest,Terrestrial
Otomys_burtoni,156,30,90,16.7,22.3,11.8,4.24,Grassland,Terrestrial
Otomys_irroratus,157,29,111,16.8,28.4,4.4,-33.01,Grassland,Terrestrial
Otomys_karoensis,134,27,108,16.3,28.7,2.9,-32.38,Grassland,Terrestrial
Otomys_laminatus,188,30,165,17.5,28.4,5.8,-29.73,Grassland,Terrestrial
Otomys_occidentalis,143,28,77,22.9,29.4,15.4,6.84,Grassland,Terrestrial
Otomys_sloggetti,127,28,84,14.1,27.1,-0.6,-30.59,Grassland,Terrestrial
Otomys_tropicalis,178,29,111,19.4,25.6,12.9,0.42,Savanna,Terrestrial
Otomys_typus,145,25,108,18.9,27.6,9.5,8.49,Savanna,Terrestrial
Thallomys_loringi,144,27,80,18.9,25.8,11.4,0.24,Savanna,Scansorial
Thallomys_nigricauda,135,25,74,21.1,34.2,5.8,-22.15,Shrubland,Scansorial
Thallomys_paedulcus,140,25,72,22.2,31.6,11.1,-12.23,Shrubland,Scansorial
Dephomys_defua,126,26,47,25.9,32.1,18.7,6.75,Forest,Arboreal
Micaelamys_namaquensis,109,25,40,19.9,32.4,5.4,-23.91,Savanna,Terrestrial
Aethomys_hindei,158,32,146,24.5,31.6,16.6,4.12,Savanna,Terrestrial
Aethomys_ineptus,147,30,82,17.8,31.1,2.9,-27.13,Grassland,Terrestrial
Aethomys_kaiseri,146,25,96,21.8,29.7,12.7,-7.52,Savanna,Terrestrial
Aethomys_nyikae,143,29,90,21.4,30.8,10.4,-10.62,Forest,Terrestrial
Grammomys_aridulus,114,23,43,23.3,34.6,9.4,13.14,Shrubland,Arboreal
Grammomys_caniceps,97,21,28,26.6,31.9,20.3,0.4,Shrubland,Arboreal
Grammomys_cometes,118,24,52,21.8,32.3,10.2,-24.59,Savanna,Arboreal
Grammomys_dolichurus,112,24,35,21.6,30.2,11.7,-10.27,Savanna,Arboreal
Grammomys_dryas,112,24,43,16.8,22.3,11.1,-1.43,Forest,Arboreal
Grammomys_ibeanus,120,26,47,19.5,27.2,11.1,-4.67,Savanna,Arboreal
Grammomys_kuru,114,25,53,24.3,29.8,18.1,2.37,Forest,Arboreal
Grammomys_macmillani,105,24,34,24.9,32.4,16.3,2.82,Savanna,Arboreal
Dasymys_foxi,157,34,118,25,33.8,14.6,10.03,Savanna,Terrestrial
Dasymys_montanus,145,30,85,13.5,18.2,8.6,0.37,Forest,Terrestrial
Dasymys_rufulus,144,33,78,26.5,33.6,18.1,8.73,Savanna,Terrestrial
Desmomys_harringtoni,136,28,65,19,27.6,9.6,9.45,Savanna,Scansorial
Desmomys_yaldeni,124,28,47,18.7,26.4,10.3,7.51,Forest,Scansorial
Pelomys_fallax,147,32,105,21.9,31,11.2,-11.48,Savanna,Terrestrial
Pelomys_hopkinsi,122,31,54,18.8,24.7,12.6,-1.68,Wetlands,Terrestrial
Pelomys_isseli,140,32,72,22.1,27.9,16,0.15,Wetlands,Terrestrial
Pelomys_minor,122,24,49,22.2,31.3,12,-8.96,Savanna,Terrestrial
Rhabdomys_dilectus,111,21,39,18.5,29.2,6.2,-18.25,Savanna,
Rhabdomys_intermedius,111,25,44,16,30.4,-0.1,-31.39,Grassland,
Arvicanthis_blicki,127,29,98,13.4,21.4,4.5,7.05,Grassland,Terrestrial
Arvicanthis_neumanni,146,28,85,24.1,32,15.8,2.95,Savanna,Terrestrial
Arvicanthis_niloticus,141,31,102,25.6,35.1,15,8.82,Savanna,Terrestrial
Arvicanthis_rufinus,144,33,103,26.3,33.2,18.2,8.09,Savanna,Terrestrial
