Species,HBL,HFL,WT,Mean_Temp,Max_Temp,Min_temp,Lat.mid,Habitat,Loc_niche
Malacomys_cansdalei,144,43,82,25.9,31.7,19.1,6,Forest,Terrestrial
Malacomys_edwardsi,133,33,59,26,32.2,18.9,6.72,Forest,Terrestrial
Malacomys_longipes,138,35,68,24.1,29.7,18.1,1.06,Forest,Terrestrial
Apodemus_alpicola,102,24,31,3.8,15.8,-8.3,46.52,Forest,Terrestrial
Apodemus_epimelas,125,26,56,12.6,26.3,-2.5,40.29,Rocky Areas,Terrestrial
Apodemus_semotus,101,24,33,19.6,28,10.1,23.74,Forest,Terrestrial
Mus_bufo,67,15,12,18.6,24.2,12.8,-1.76,Forest,Terrestrial
Mus_callewaerti,84,17,16,21.2,29.3,11.7,-8.87,Forest,Terrestrial
Mus_cookii,86,20,20,21.5,30.3,10.7,22.9,Forest,Terrestrial
Mus_fragilicauda,77,15,12,25.2,32.5,15.2,17.1,Forest,Terrestrial
Mus_indutus,55,13,5,21.5,34.5,5.8,-21.02,Savanna,Terrestrial
Mus_mahomet,67,15,10,19.1,28.1,9.5,10.18,Savanna,Terrestrial
Mus_musculus,88,19,16,12.9,28.6,-4.4,24.17,Forest,Terrestrial
Mus_pahari,90,22,22,19.4,28.8,8.3,23,Forest,Terrestrial
Mus_setulosus,72,15,14,23.8,30.3,16.5,6.19,Forest,Terrestrial
Mus_setzeri,54,14,7,22.2,34.7,6.4,-19.04,Savanna,Terrestrial
Mus_shortridgei,108,21,35,22.7,30.4,13.1,19.12,Forest,Terrestrial
Mus_spretus,140,16,14,15.3,29.2,1,37.07,Shrubland,Terrestrial
Mus_terricolor,68,15,8,25.8,37.9,12.1,22.06,Forest,Terrestrial
Mus_vulcani,93,22,20,12.6,17.6,7.7,-7.12,Forest,Terrestrial
Stenocephalemys_albipes,132,27,59,19,27.5,9.7,8.99,Savanna,Terrestrial
Stenocephalemys_albocaudata,164,32,130,12.5,20.4,3.8,7.21,Shrubland,Terrestrial
Stenocephalemys_griseicauda,154,30,99,15.5,24.3,6.1,9.99,Shrubland,Terrestrial
Praomys_daltoni,109,20,34,27.1,35.9,16.7,10.97,Savanna,Scansorial
Praomys_degraaffi,111,25,39,16.1,21.6,10.2,-2.02,Forest,Scansorial
Praomys_delectorum,100,24,29,19.1,27.2,10.2,-9.1,Forest,Scansorial
Praomys_derooi,97,21,32,26.7,33.3,18.5,8.05,Savanna,Scansorial
Praomys_hartwigi,125,26,57,21.3,27.6,14,6.07,Forest,Scansorial
Praomys_misonnei,112,24,35,23.6,28.9,18,0.09,Forest,Scansorial
Praomys_morio,114,24,43,19.9,25.3,15,4.02,Forest,Scansorial
Praomys_mutoni,114,22,45,24.1,29.5,18.6,0.41,Forest,Scansorial
Praomys_obscurus,121,27,47,21.6,28.2,13.9,6.94,Savanna,Scansorial
Praomys_rostratus,114,26,50,26,32.6,18.4,7.71,Forest,Scansorial
Praomys_tullbergi,118,27,33,25.8,31.9,18.8,6.61,Forest,Scansorial
Praomys_verschureni,121,30,51,22.9,28.6,17.1,1.39,Forest,Scansorial
Mastomys_awashensis,122,24,46,21.2,30.7,11.1,9.34,Savanna,Terrestrial
Mastomys_coucha,100,20,31,18.9,32.2,3.6,-24.99,Savanna,Terrestrial
Mastomys_erythroleucus,138,24,56,26.3,34.9,16.4,9.51,Savanna,Terrestrial
Mastomys_huberti,136,25,55,27.8,38.1,15.9,13.91,Savanna,Terrestrial
Mastomys_kollmannspergeri,137,27,95,27.4,38.9,14.1,13.71,Savanna,Terrestrial
Mastomys_natalensis,113,23,39,24.1,32.5,14.5,-1.31,Savanna,Terrestrial
Mastomys_shortridgei,120,25,46,22,34,6.6,-17.04,Savanna,Terrestrial
